CONDITION_ID	GENE_ID
OMIM:100300	ENSG00000031081|ENSG00000130158|ENSG00000163378|ENSG00000168214
OMIM:100800	ENSG00000068078
OMIM:101000	ENSG00000186575|ENSG00000196712
OMIM:101200	ENSG00000066468|ENSG00000122691
OMIM:101400	ENSG00000066468|ENSG00000122691
OMIM:101600	ENSG00000066468|ENSG00000077782
OMIM:101800	ENSG00000108946|ENSG00000113448
OMIM:101900	ENSG00000174437
OMIM:102200	ENSG00000087460|ENSG00000110711
OMIM:102370	ENSG00000068078|ENSG00000087245|ENSG00000092330|ENSG00000100934|ENSG00000120370|ENSG00000121075|ENSG00000133937|ENSG00000141655|ENSG00000157766|ENSG00000166147|ENSG00000166801|ENSG00000176842|ENSG00000204103
OMIM:102500	ENSG00000134250
OMIM:102530	ENSG00000105146|ENSG00000112053|ENSG00000114374|ENSG00000136931|ENSG00000139351|ENSG00000140623|ENSG00000141384|ENSG00000141497|ENSG00000144962|ENSG00000161594|ENSG00000175294|ENSG00000177990|ENSG00000188613|ENSG00000261631
OMIM:102700	ENSG00000196839
OMIM:102900	ENSG00000143627|ENSG00000167548|ENSG00000262785
OMIM:103050	ENSG00000005381|ENSG00000007933|ENSG00000073578|ENSG00000091483|ENSG00000100075|ENSG00000101981|ENSG00000102144|ENSG00000103150|ENSG00000111716|ENSG00000116984|ENSG00000125741|ENSG00000125877|ENSG00000138109|ENSG00000138796|ENSG00000147224|ENSG00000147647|ENSG00000148090|ENSG00000154646|ENSG00000160282|ENSG00000165471|ENSG00000165841|ENSG00000166710|ENSG00000167397|ENSG00000167642|ENSG00000176715|ENSG00000204370|ENSG00000205138|ENSG00000239900|ENSG00000255974|ENSG00000273686|ENSG00000280905
OMIM:103285	ENSG00000073282
OMIM:103500	ENSG00000084110|ENSG00000100033|ENSG00000100983|ENSG00000105607|ENSG00000112294|ENSG00000115919|ENSG00000119711|ENSG00000120054|ENSG00000123453|ENSG00000124299|ENSG00000124370|ENSG00000124713|ENSG00000132837|ENSG00000135821|ENSG00000139531|ENSG00000146085|ENSG00000151224|ENSG00000151498|ENSG00000155465|ENSG00000159423|ENSG00000159650|ENSG00000163817|ENSG00000174358|ENSG00000175600|ENSG00000177646|ENSG00000178814|ENSG00000186335|ENSG00000187098|ENSG00000196177|ENSG00000198130|ENSG00000243989
OMIM:103580	ENSG00000087460
OMIM:103780	ENSG00000102468|ENSG00000128519|ENSG00000136144|ENSG00000151834|ENSG00000196616|ENSG00000248144
OMIM:103900	ENSG00000160882
OMIM:104200	ENSG00000081052|ENSG00000169031|ENSG00000188153
OMIM:104290	ENSG00000018625|ENSG00000105409
OMIM:104300	ENSG00000005381|ENSG00000010704|ENSG00000080815|ENSG00000122861|ENSG00000130203|ENSG00000137845|ENSG00000142192|ENSG00000143801|ENSG00000164867|ENSG00000175899
OMIM:104310	ENSG00000005381|ENSG00000010704|ENSG00000080815|ENSG00000122861|ENSG00000130203|ENSG00000137845|ENSG00000142192|ENSG00000143801|ENSG00000164867|ENSG00000175899
OMIM:104500	ENSG00000064195|ENSG00000067836|ENSG00000108950|ENSG00000125363|ENSG00000132464|ENSG00000137674|ENSG00000140090|ENSG00000166415|ENSG00000167749|ENSG00000174792|ENSG00000180921|ENSG00000196878|ENSG00000273889
OMIM:104510	ENSG00000064195|ENSG00000067836|ENSG00000108950|ENSG00000125363|ENSG00000132464|ENSG00000137674|ENSG00000140090|ENSG00000166415|ENSG00000167749|ENSG00000174792|ENSG00000180921|ENSG00000196878|ENSG00000273889
OMIM:104530	ENSG00000064195|ENSG00000067836|ENSG00000108950|ENSG00000125363|ENSG00000132464|ENSG00000137674|ENSG00000140090|ENSG00000166415|ENSG00000167749|ENSG00000174792|ENSG00000180921|ENSG00000196878|ENSG00000273889
OMIM:105120	ENSG00000148180
OMIM:105150	ENSG00000101439|ENSG00000136156|ENSG00000142192
OMIM:105200	ENSG00000090382|ENSG00000118137|ENSG00000166710|ENSG00000171560|ENSG00000273686
OMIM:105210	ENSG00000118271
OMIM:105250	ENSG00000145623|ENSG00000164509
OMIM:105400	ENSG00000100285|ENSG00000135406|ENSG00000142168|ENSG00000204843
OMIM:105500	ENSG00000092439|ENSG00000147894
OMIM:105550	ENSG00000092439|ENSG00000147894
OMIM:105650	ENSG00000105372|ENSG00000122406|ENSG00000124614|ENSG00000138326|ENSG00000142676|ENSG00000161970|ENSG00000171863|ENSG00000174748|ENSG00000182899|ENSG00000197728|ENSG00000213741|ENSG00000278229
OMIM:105830	ENSG00000114062|ENSG00000169057
OMIM:106100	ENSG00000131187|ENSG00000149131
OMIM:106210	ENSG00000007372|ENSG00000167114
OMIM:106260	ENSG00000073282|ENSG00000077782|ENSG00000187676
OMIM:106300	ENSG00000206450
OMIM:106600	ENSG00000135925|ENSG00000148606|ENSG00000158813|ENSG00000163132|ENSG00000164690|ENSG00000168646|ENSG00000198807
OMIM:107250	ENSG00000107859|ENSG00000138759|ENSG00000139219|ENSG00000148384|ENSG00000150893|ENSG00000155974|ENSG00000186790|ENSG00000215612
OMIM:107480	ENSG00000103449
OMIM:107600	ENSG00000062038|ENSG00000068078|ENSG00000081277|ENSG00000091409|ENSG00000100906|ENSG00000121742|ENSG00000121879|ENSG00000132470|ENSG00000133703|ENSG00000135443|ENSG00000135925|ENSG00000165733|ENSG00000174775|ENSG00000186847|ENSG00000213281|ENSG00000269335|ENSG00000276536
OMIM:107970	ENSG00000046604|ENSG00000057294|ENSG00000096696|ENSG00000119699|ENSG00000134755|ENSG00000170876|ENSG00000173801|ENSG00000183230|ENSG00000198626|ENSG00000261577
OMIM:108010	ENSG00000027075|ENSG00000132965|ENSG00000136244|ENSG00000164867|ENSG00000180210|ENSG00000198734
OMIM:108120	ENSG00000109063|ENSG00000130595|ENSG00000130598|ENSG00000133020|ENSG00000138829|ENSG00000154864|ENSG00000171551|ENSG00000196091|ENSG00000198467
OMIM:108145	ENSG00000109063|ENSG00000130595|ENSG00000130598|ENSG00000133020|ENSG00000138829|ENSG00000154864|ENSG00000171551|ENSG00000196091|ENSG00000198467
OMIM:108300	ENSG00000060718|ENSG00000139219|ENSG00000206290
OMIM:108500	ENSG00000079215|ENSG00000111262|ENSG00000141837|ENSG00000182389
OMIM:108600	ENSG00000003393|ENSG00000021574|ENSG00000032444|ENSG00000068615|ENSG00000070610|ENSG00000072121|ENSG00000076685|ENSG00000081014|ENSG00000085788|ENSG00000100478|ENSG00000100523|ENSG00000103089|ENSG00000104133|ENSG00000114354|ENSG00000116337|ENSG00000123560|ENSG00000125744|ENSG00000129250|ENSG00000130294|ENSG00000130921|ENSG00000131943|ENSG00000132563|ENSG00000134262|ENSG00000135454|ENSG00000138185|ENSG00000139190|ENSG00000144381|ENSG00000147475|ENSG00000155016|ENSG00000155256|ENSG00000155975|ENSG00000155980|ENSG00000164961|ENSG00000168000|ENSG00000169359|ENSG00000170113|ENSG00000170540|ENSG00000172817|ENSG00000196663|ENSG00000197912|ENSG00000198513|ENSG00000198835|ENSG00000221838|ENSG00000242802|ENSG00000247626
OMIM:108720	ENSG00000136068|ENSG00000155850
OMIM:108721	ENSG00000136068|ENSG00000155850
OMIM:108770	ENSG00000143140|ENSG00000183873|ENSG00000262327|ENSG00000265107
OMIM:108900	ENSG00000038295|ENSG00000136574|ENSG00000141448|ENSG00000159251|ENSG00000164442|ENSG00000164532|ENSG00000183072|ENSG00000197616
OMIM:108985	ENSG00000007062|ENSG00000011465|ENSG00000088836|ENSG00000115020|ENSG00000115380|ENSG00000120708|ENSG00000120942|ENSG00000125850|ENSG00000148516|ENSG00000171812|ENSG00000184292|ENSG00000186442|ENSG00000187079|ENSG00000263243
OMIM:109150	ENSG00000066427
OMIM:109400	ENSG00000107882|ENSG00000117425|ENSG00000185920
OMIM:109730	ENSG00000137834|ENSG00000148400
OMIM:109800	ENSG00000068078|ENSG00000133703|ENSG00000139687|ENSG00000276536
OMIM:110100	ENSG00000183770
OMIM:112240	ENSG00000052850|ENSG00000066468|ENSG00000068078|ENSG00000077782|ENSG00000105722|ENSG00000120149|ENSG00000122691|ENSG00000140262|ENSG00000153283|ENSG00000157933|ENSG00000171456|ENSG00000185624
OMIM:112250	ENSG00000099810
OMIM:112310	ENSG00000136068
OMIM:112500	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:112600	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:113000	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:113100	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:113200	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:113300	ENSG00000087494|ENSG00000125845|ENSG00000125965|ENSG00000128714|ENSG00000138696|ENSG00000163501|ENSG00000169071|ENSG00000183691
OMIM:113500	ENSG00000111199
OMIM:113620	ENSG00000137203
OMIM:113650	ENSG00000104313|ENSG00000177045
OMIM:113750	ENSG00000049130|ENSG00000101440|ENSG00000104055|ENSG00000107165|ENSG00000115648|ENSG00000137265|ENSG00000140090|ENSG00000162341|ENSG00000166068|ENSG00000188467|ENSG00000281919
OMIM:113800	ENSG00000167768|ENSG00000186395
OMIM:113900	ENSG00000114353|ENSG00000118729|ENSG00000130529|ENSG00000183873|ENSG00000198626|ENSG00000282974
OMIM:113970	ENSG00000136997
OMIM:114000	ENSG00000108821|ENSG00000162337|ENSG00000166801|ENSG00000282984
OMIM:114290	ENSG00000125398
OMIM:114300	ENSG00000109063|ENSG00000130595|ENSG00000130598|ENSG00000133020|ENSG00000138829|ENSG00000154864|ENSG00000171551|ENSG00000196091|ENSG00000198467
OMIM:114480	ENSG00000012048|ENSG00000023287|ENSG00000039068|ENSG00000051180|ENSG00000064012|ENSG00000072571|ENSG00000074319|ENSG00000083093|ENSG00000085999|ENSG00000104320|ENSG00000110628|ENSG00000121879|ENSG00000126215|ENSG00000133703|ENSG00000136492|ENSG00000138376|ENSG00000139618|ENSG00000141510|ENSG00000142208|ENSG00000149311|ENSG00000163322|ENSG00000167085|ENSG00000170836|ENSG00000183765
