CONDITION_ID	PHENOTYPE_ID
24834	25|44|151|174|257|266|275|279|309|333|352|371|373|381|393|473|606|756|774|797|924|1056|1062|1070|1089|1123|1323|1480|1523|1548|1696|2093|2461|2591|3391|3635|4424|6229|7553|8578|9637
24835	3502
24836	2|5|8|25|67|71|77|109|126|183|608|609|612|753|1058|1177|1220|1224|1231|1322|1520|1523|1668|1906|1917|1974|2536|3185|3642|4531|7622|10608|10652|10823
24837	4|373|8006
24838	4|5|103|151|174|211|442|444|765|971|972|974|982|1010|1051|1167|1196|1220|1224|1322|1326|1342|1571|1574|1582|1601|1605|1888|1901|2764|3203|4678|5030|5031|8578
24839	4|757
24840	822|2605
24841	754
24842	4|209|277|1068|2000|10847
24843	4|144|201|214|225|315|316|352|612|614|757|775|988|1047|1060|1148|1149|1233|1510|1592|1601|1637|1871|1979|1995|2062|2072|2191|2210|2239|2257|2291|2294|2504|2593|2799|2983|3708|3930|3981|5538|5567|5593|5798|5801|5811|6311|7197|8456|8578|10857|10901|13290
24844	4|558
24845	4|285|317|391|758|790|973|1001|1568|1743|1750|1874|2125|2151|4565|5133|5211|5245|5316|6343|6344|6346|6347|6348|6349|6472|6474|6477|7310|9605|10092|10749|10750
24846	4|217|225|227|250|257|266|293|313|358|381|459|527|536|749|774|924|934|1052|1063|2060|2297|3105|3120|3145|6549|6762|7962
24847	4|25|109|129|151|162|165|201|202|206|217|223|225|244|250|257|263|270|278|307|316|317|338|344|345|373|381|391|459|512|541|547|649|847|926|934|971|992|1028|1047|1145|1219|1326|1510|1522|1529|1583|1601|1950|1994|2256|2272|2821|3189|3244|3256|3326|3708|4003|4171|4746|4830|4856|5365|6355|6388|6443|7247|7975|8456|9017|10676|10754|11009
24848	4|25|151|162|209|217|223|225|244|257|263|266|278|292|316|317|321|338|351|373|391|393|436|459|484|512|756|972|1048|1363|1568|1592|1765|1874|1905|1970|1974|1996|2014|2214|2231|2364|2459|2767|3027|3120|3212|3226|3343|4003|4171|5627|5633|6612|6662|6679|6762|6811|7247|7304|7975|7980|8559|9017|9408
24849	4|166|184|201|206|225|250|257|262|263|266|278|333|344|345|358|373|381|393|459|536|971|1741|1994|2071|2256|2272|2368|2430|2454|2752|3027|3120|3224|3708|3763|4163|4168|6443|6508|6762|7350|7962|7981|8456|14326|16346
24850	4|25|117|201|209|236|250|257|266|290|347|373|502|512|530|541|547|675|680|788|930|961|971|1156|1380|1974|2283|2346|2356|2368|2531|3043|3086|3098|3258|3708|3928|3991|5567|5593|5787|5793|6537|6757|6933|7416|8578
24851	25|150|211|238|277|278|292|302|354|381|530|608|756|1148|1215|1509|1671|2053|2368|2447|3027|3086|3105|3120|4163|7350|8578|10608|10688
24852	4|1675|9042|11020|11021
24853	4|762|775|1197|11006|11028
24854	4|766|818|1198|1351|1352|1734|4708|4955|5012|7295|7487|8685|8875|10704|11006|14362|18098
24855	4|11005
24856	4|88|250|365|777|933|7235|9859
24857	4|137|155|179|195|232|257|273|277|322|331|449|455|527|855|927|933|938|972|976|1027|1063|1152|1898|3261|10605
24858	4|232|649|669|680|689|1096|1226|1289|2033|3252|4574|7410|8416|9816|10087|10678|10867|18868
24859	4|1032|2522|5833|9100|10828
24860	4|753
24861	4|140|155|255|275|322|352|408|603|745|855|1055|1059|1207|1329|1503|1507|2051|2053|2057|2061|2098|2255|2368|2448|2593|3086|4066|6537|6757|7267|8578
24862	4|2655|6506
24863	4|20|25|42|94|184|201|232|243|275|277|293|316|339|352|358|381|392|408|449|527|547|800|1068|1146|1159|1231|1253|1345|1906|1971|2005|2007|2008|2054|2059|2124|2201|2283|3086|3120|3293|3831|3992|4064|4208|4381|5242|5544|5579|6488|6572|6883|7231|9015|9598
24864	4|151|608|947|968|1326|1976|3301|3311|4163|5515|6230|6361|6513|6595|7962|10555|10608
24865	936|8859
24866	629|2414|8611|8612|8854|9520
24868	4|927|962|6144|6513
24869	4|612|746|1970|1977|2025|2060|2083|2098|2157|2225|2226|2267|2297|4400|7305|7664|8712|10317|10591
24870	5|208|659|718|735|1105|1146|1312|1404|1413|1476|1481|1516|1580|1587|1590|1696|1970|2027|2029|2113|2121|2382|3215|3216|3709|3766|3771|3775|3809|3946|5501|8571|8572|8840|9194|9820|12490|12546|13184|16025|16590|17231|20667
24871	4|1402|1621|3229|3413|9817
24872	4|1019|1023|2369|2701|5848
24873	4|1444
24874	4|1400|1423|1425|1433|8524|9818|11300|13074
24875	5|135|185|209|259|275|293|352|373|505|566|567|588|593|595|597|644|675|971|974|990|1032|1043|1147|1552|1558|1628|1646|1889|2163|2320|2340|2368|2373|2645|2717|3388|3847|4598|8001|8674|9958|10567|16115|16131
24876	4|984|8724
24877	4|183|585|648|759|778|875|972|1054|1149|1516|1520|1568|1774|1779|1792|2103|2205|2522|2646|5034|8019|9027|9180|10648|11027
24878	4|670|755|9252
24879	4|173|330|332|394|441|453|535|546|759|763|764|768|786|788|931|962|1131|1326|1343|1348|1374|1382|1672|1675|1676|1726|1731|1900|1902|2363|3132|4163|4306|4480|4939|6012|6492|9372|10826|10837|11027|12128|13938
24880	4|140|148|151|163|231|236|263|277|333|392|530|931|962|1004|1164|1637|4163|6144|6546|6595|9377|10608|10652
24881	4|6510
24882	4|403|457|483|5116|5177
24883	4|317|373|419|483|505|796|803|871|885|1089|1318|3912|5075|5127
24884	4|466|502|1628|1686|1687|2169|2320|2342|2397|2484|2648|3477|3917|4983|5220|5391|5469|5620|5652|7572|8770|10878
24885	4|117|206|243|255|358|400|505|541|648|675|723|745|971|972|1149|1611|2002|2164|2346|2559|2574|2764|2807|3086|3120|3708|3975|4041|4275|4673|5050|6145|6752|7416|8989|13726|14350
24886	599|2605|5740|7840|8754|10762|11602|11744|12694|13209|13210|14132|14133|17079|19201|20471|20537
24887	4|111|649|665|2160|2489|2679|4041|5427|5442|8392|14075
24888	4|962|1364|1403|1582|1583|1585|1587|1593|1596|3164
24889	1094|1348|1688|2205|4912
24890	4|772|781|793|1196|2645|5525
24891	4|1691
24892	4|194|201|290|386|555|788|972|976|1728|1773|1774|3915|10878
24893	4|5|8088
24894	4|84|89|90|104|405|424|498|649|904|1092|1319|1424|1620|1629|2165|2680|2740|3352|4568|5206|5455|8157|8158|8163|8695|8870|9224|9587|20354
24895	4|521|985|1561|1612|1714|1715|1780|2645|2656|2680|4620|4633|7226|8622|8693|8843|11050|12192
24896	4|1008|1093|1619|1647|1650|1657|1774|1819|1870|1882|1883|2643|4756|4840|8467|13924|20997|22277
24897	1008|1619|1647|1650|1657|1774|1819|1870|1882|1883|2643|4756|4840|8467|13924|20997|22277
24898	4|574|1008|1650|1819|2645
24899	4|109|184|201|236|257|293|333|381|393|608|924|1058|1159|1222|1231|1902|1974|2190|2209|3708|5697
24900	6560
24901	4|537|556|2021|2823|4266|4275|7722|7980|9385|11056
24902	4|537|556|2021|2823|4266|4275|7722|7980|9385|11056
24903	4|537|556|2021|2823|4266|4275|4280|7722|7980|9385|11056
24904	4|195|530|539|759|762|766|837|962|1346|1351|1675|4269|4272|4383|7733
24905	4|606|688|2007|2154|10867
24906	4|77|90|773|917|989|997|1102|1226|2386|2642
24907	4|574|1006|1650|1882|1963|2386|3512|8620|13924|21050
24908	4|84|90|98|623|649|769|783|1072|1312|1696|2386
24909	4|17|290|391|505|574|632|972|980|984|987|989|993|1033|1228|1297|1435|1516|1520|1565|1747|1806|1836|2178|2438|2577|2643|2680|2698|2764|3480|4764|4765|4777|5192|5875|7244|9240|13330|14741
24910	4|772|773|784|803|818|917|1004|2642|4928|5029|6633|8958|9485|10773|12102|12731|13359
24911	4|17|505|971|978|1029|1938|2373
24912	4|5|993|1023|1042|1093|1746|1795|1805|2373|2517|4708|4863|7229
24913	574|997|1008|1606|1746|1784|1795|1849|2517|2724|4824|4863|8729|11617|11887
24914	4|475|565|584|587|592|980|997|1008|1552|1606|1619|1641|1651|1719|1746|1784|1795|1799|1826|1849|1883|2373|2642|2682|2724|4824|4838|4863|8729|11617|11887
24915	4|9098|10037
24916	4|1520|3172
24917	4|558
24918	4|4571
24919	4|754|1480|3403|9191
24920	4|151|174|184|211|223|231|246|257|277|349|354|358|373|381|517|614|696|751|780|947|971|1146|1148|1215|1219|1220|1223|1261|1399|1416|1418|1480|1990|2014|2130|2221|2232|2645|3120|3403|3434|3857|3871|5556|5565|5589|6512|6513|6655|8783|9059|9817|11291|18098|19787
24921	4|1640|3496
24922	4|1946|7137
24923	4|135|138|209|225|250|266|377|424|452|502|505|594|597|803|972|974|988|1040|1042|1149|1520|1602|1612|1726|1740|1744|1773|1974|2724|3105|3835|3845|4281|4621|4633|4682|4807|5792|6372|7479|7533|8000|8002|8003|8054|9383|11054|13725|17407
24924	541|939|952|2053|2287|2430|3120|5784|5969
24925	4|762|2655|2681|2724
24926	4|623|817|972|987|1695|1721
24927	4|253|814|1515|1516|1911|2072|2205|2577|3217|3665|7455|8508|8677|10723|12532|13117|13125|13675|21425
