CONDITION_ID	PHENOTYPE_ID
OMIM:100050	HP:0000028
OMIM:100050	HP:0000049
OMIM:100050	HP:0000175
OMIM:100050	HP:0000204
OMIM:100050	HP:0000316
OMIM:100050	HP:0000327
OMIM:100050	HP:0000343
OMIM:100050	HP:0000349
OMIM:100050	HP:0000394
OMIM:100050	HP:0000431
OMIM:100050	HP:0000463
OMIM:100050	HP:0000484
OMIM:100050	HP:0000486
OMIM:100050	HP:0000494
OMIM:100050	HP:0000508
OMIM:100050	HP:0000602
OMIM:100050	HP:0000765
OMIM:100050	HP:0000954
OMIM:100050	HP:0000974
OMIM:100050	HP:0001004
OMIM:100050	HP:0001159
OMIM:100050	HP:0001371
OMIM:100050	HP:0001380
OMIM:100050	HP:0001394
OMIM:100050	HP:0001417
OMIM:100050	HP:0001470
OMIM:100050	HP:0001763
OMIM:100050	HP:0001972
OMIM:100050	HP:0002023
OMIM:100050	HP:0002055
OMIM:100050	HP:0002240
OMIM:100050	HP:0002816
OMIM:100050	HP:0003318
OMIM:100050	HP:0003502
OMIM:100050	HP:0004792
OMIM:100050	HP:0005190
OMIM:100050	HP:0006530
OMIM:100050	HP:0009466
OMIM:100050	HP:0010886
OMIM:100050	HP:0011927
OMIM:100050	HP:0030084
OMIM:100070	HP:0004953
OMIM:100100	HP:0000003
OMIM:100100	HP:0000007
OMIM:100100	HP:0000010
OMIM:100100	HP:0000028
OMIM:100100	HP:0000072
OMIM:100100	HP:0000076
OMIM:100100	HP:0000083
OMIM:100100	HP:0000126
OMIM:100100	HP:0000144
OMIM:100100	HP:0000217
OMIM:100100	HP:0000767
OMIM:100100	HP:0000768
OMIM:100100	HP:0000772
OMIM:100100	HP:0000951
OMIM:100100	HP:0001374
OMIM:100100	HP:0001562
OMIM:100100	HP:0001631
OMIM:100100	HP:0001636
OMIM:100100	HP:0001643
OMIM:100100	HP:0001762
OMIM:100100	HP:0002019
OMIM:100100	HP:0002023
OMIM:100100	HP:0002205
OMIM:100100	HP:0002566
OMIM:100100	HP:0002580
OMIM:100100	HP:0002650
OMIM:100100	HP:0003422
OMIM:100100	HP:0004392
OMIM:100100	HP:0005199
OMIM:100100	HP:0006703
OMIM:100100	HP:0010957
OMIM:100100	HP:0100543
OMIM:100100	HP:0100589
OMIM:100100	HP:0100779
OMIM:100200	HP:0000006
OMIM:100200	HP:0000486
OMIM:100200	HP:0011349
OMIM:100300	HP:0000006
OMIM:100300	HP:0000007
OMIM:100300	HP:0000119
OMIM:100300	HP:0000175
OMIM:100300	HP:0000204
OMIM:100300	HP:0000252
OMIM:100300	HP:0000565
OMIM:100300	HP:0000568
OMIM:100300	HP:0000965
OMIM:100300	HP:0001249
OMIM:100300	HP:0001250
OMIM:100300	HP:0001252
OMIM:100300	HP:0001263
OMIM:100300	HP:0001302
OMIM:100300	HP:0001362
OMIM:100300	HP:0001547
OMIM:100300	HP:0001596
OMIM:100300	HP:0001631
OMIM:100300	HP:0001636
OMIM:100300	HP:0001762
OMIM:100300	HP:0001770
OMIM:100300	HP:0001792
OMIM:100300	HP:0002079
OMIM:100300	HP:0002084
OMIM:100300	HP:0002092
OMIM:100300	HP:0002119
OMIM:100300	HP:0002126
OMIM:100300	HP:0002539
OMIM:100300	HP:0002558
OMIM:100300	HP:0003812
OMIM:100300	HP:0004415
OMIM:100300	HP:0006970
OMIM:100300	HP:0007589
OMIM:100300	HP:0007590
OMIM:100300	HP:0011927
OMIM:100600	HP:0000006
OMIM:100600	HP:0000956
OMIM:100650	HP:0001033
OMIM:100650	HP:0003533
OMIM:100675	HP:0000952
