CONDITION_ID	PHENOTYPE_ID
0	1149|12718|15878|20660
1	11449|14290
10	16780|16781
100	973|1739|2414|9095|12773|17313|17931
1000	1400|1425|2054|2414|3101|3124|5428|5678|8765|12056|12432|12505|12726|12774|13406|13412|15378|15395|15399|15678|15706|16387|16545
10000	12846
10001	425|1641|12184|12272|13418|15725|16427|16612|16993|17055|17056|17058|17059|17062|17063
10002	12846|21678
10003	12846
10004	4275|7730|14485
10005	12476|14805|19598
10006	1505|1640|11385|11600|12467|12934|13805|14290|14537|19589
10007	409|780|1418|1425|2390|3862|4254|7680|7931|11300|11365|12463|12479|13073|13074|13989|19598|19609|19704|20200|20372|20629|21811
10008	780|1425|2390|12182|12463|13830|13833|13989|19599|20200
10009	1620|2161|2293|3123|3145|5797|13519|14000|19728
1001	5260|12185|12193|12203|12505|12641|12955|13940|16152|16573|18041|18761|19586|22025
10010	4257|15497|16717|17065
10011	975|1494|9028|15824|15947|19585
10012	12846
10013	11294|14206
10014	24|317|1416|2414|5716|11311|13492|14945|14951|15281|16804|18296|20462
10015	16686
10016	12776|13346|14537|15572|18901|19596|19684|19689|20607
10017	3700|13061|19598
10018	1662|3123|4669|11743|11767|11813|12245|12274|12276|12284|12310|12336|12357|14052|16024|17079|18278|20978
10019	13460|14636|14640|15669
1002	667|678|1073|2175|2276|13663|17651|19585
10020	399|444|12167|12193|13329|14299|14485|16515|17802|18623|22163|22172
10021	444|2414|12197|13329|14299|15730|18623|22163|22172
10022	11709|12463|12476|12634|15331|16456|16462|16935|19598|19762
10023	12463|12472|12473|12476|14756|14805|15331|15442|16462|16936|19145|19598|19762
10024	12675|13753|22103|22133|22134|22136
10025	24|8814|12463|12476|12634|12846|14756|15331|15349|15396|16462|16936|19145|19586|19598|19609|19762
10026	1932|14666|18419|19608
10027	1397|1401|2027|7544|8520|12774|12846|15587
10028	14574|14575|20637
10029	14303|14574|14575|16219|16225|16601|17063
1003	2416|3802|12390|12846|15046|15427|15566|15624|16619|17110|18299|20921
10030	13192
10031	13192
10032	11400|12232|13604|14419|19549|21783
10033	1023|1033|1564|1835|11714|12357|13707|14221|15986
10034	1001|1033|11714
10035	973|1001|1033
10036	89|762|1196|2112|2121|7380|10734|11596|11612|12114|12150|12152|12558|13006|14005|14677|15862|18158|18170|19202|19725|21892
10037	14415|16136
10038	1289|1850|15669|16086
10039	13406|13795
1004	1505|13662|15103|18192|18233|19057|19608
10040	11402|12212|19777|19779
10041	9294|12681
10042	12381|14729|16044|19592
10043	80|745|1425|2087|2373|2416|3123|3871|4257|5797|7210|11240|11246|11606|12463|12537|12639|12765|12773|12774|13805|14275|14349|15352|17022|17384|19588|20200|21808
10044	13204
10045	13203
10046	13204
10047	13204
10048	13205
10049	13206
1005	12455|12466|13830|13992|14537|14625|15331|16441|19598|20666|20676
10050	12272
10051	12272
10052	7642
10053	659|1073|1226|1247|1453|3107|3122|3134|9027|12718|12774|13585|15112|15937|16143|18296|19456|19549
10054	629|5428|7160|12640|12873|14165|15396|15694|16804|16823
10055	6600|15698|19777|19779
10056	1219
10057	11402|17917|19777|19779
10058	11309|15913
10059	12846
1006	764|824|1196|1404|1416|2025|2737|7455|8960|9022|9295|11294|12106|12133|12151|12603|12774|12827|13016|13245|13414|14025|14375|16043|16631|17109|17256|18210|18894
10060	12846
10061	11404
10062	11404
10063	629|2414|5716|8855|12079|12080|13406|16823|17775|18371
10064	2414|5716|13308|16060
10065	2168|13279|13556|15319|15856
10066	12640|17432|17768|17915
10067	17914
10068	11527|12422|13214|14440|14688|14689|14690|15276|16551|19302|21876
10069	12241|12278|12304|12324|12367|12873|13560|15298|16806|17972|18472|19769
1007	19598|20200
10070	2597|13902|14040|17968|19305|19586|21793
10071	80|2763|3156|13887|15480|21310
10072	12846
10073	80|94|3156|15052
10074	11327|11748|12455|12456|12457|12533|13830|13992|14016|15743|16462|18192|19598
10075	2064|8502|10818|12450|12458|12461|12802|13690|19596
10076	11358|15824|20200
10077	1585|5797|12099|12998|13810|17313|19359|19397|19405|19410|19439|19586
10078	597|12234|12241|12256|17864|18772|22521
10079	7679|12494|19587
1008	780|1425|11606|11609|12463|12533|12811|14751|16193|19591
10080	11315
10081	11949|14575
10082	425|14300|16031|16323|17058|17871
10083	12846
10084	12405|13285|13986|21189
10085	13056
10086	350|425|11868|12193|15038|15282|16475|17330|19561
10087	9286|12463|12466|12467|12481|12483|13977|14442|19598|19705|20628|21228
10088	12244|12324|19596
10089	211|8952|11397|11600|11880|12463|12533|12634|12858|12859|14610|14628|15331|16072|19598|21548
1009	2589|3798|3802|13064|14221|14407|15615|15625|16626|16894|16942|17038|17043|17045
10090	21809
10091	7679|19594
10092	12537|13523|14014|18296
10093	1453|14222|19598
10094	1295|8338|12533|12634|13285|14376|16471|16472|19599
10095	12846
10096	2278|8860
10097	11203|11566|12212|12463|19589
10098	19238
10099	84|86|1478|9022|12774|13334|13837|15513|16049|16683|19846|19848|19926|19981|20007
101	973|1564|5486|11842|12274|12364|13425|14451|15358|15540|17115
1010	597|659|667|678|1071|1073|1149|1196|2276|8388|8765|11241|11275|11278|11767|12106|12114|12324|12381|12382|12853|13277|13298|13556|13593|13924|14250|14290|14444|14514|14528|14663|15672|15725|15759|15824|15847|15852|15951|15954|16366|16971|16974|17096|17114|17127|17137|17139|17184|17893|18073|18559|18581|18706
10100	2117|11270|17013
10101	2117|11270|17013
10102	2611
10103	973|1001|11842|12274|12619|13525|14451
10104	2390
10105	12331|15298
10106	151|761|1586|2428|12300|13909|19587
10107	2027|12048|12167|12641|13642|15628|17097|17185|18557|19577|19581
10108	11358|19593|19606|20200
10109	13643
1011	3145|11905|12167|12471|12853|13678|15528|18921|19379|19587|19604
10110	13066
10111	9092|12244
10112	17104|17249
10113	13506|16044
10114	14153|19062
10115	12846
10116	12846
10117	603|761|1583|7498|10796|12011|12016|12167|19588
10118	11911|16219|16225|17062|19252|20524
10119	12594|14250|14662|19600
1012	2182|7544|7679|8428|8860|12324|14653
10120	11482
10121	3123|12502|13663|15740|16044|16870
10122	1278|2465|2627|11719|11720|12774|12943|13688|13744|14408|14409|17936|17998|18618
10123	12626|18283
10124	7687|17329|19598
10125	14554|15832|17414|18280
10126	8504|12482|13823|13989|13992|14628|19598
10127	1586|2064|3145|5336|7455|7725|11027|11591|12133|12580|12603|12850|13693|14822|18210|18360|18649|19438|19545|19660
10128	1416|1439|11289|13231|13491|13734|16046|16119|17348
10129	8520|13628|15587|16085
1013	2589|3115|3795|3796|13005|13018|13101|13450|15360|16777|17008|17017|17022|17104|17110|18079|18157|18165|18168|18169|18296|21895
10130	8897|12759|13825
10131	3123|4130|8859|19590
10132	15743
10133	24|77|86|94|1476|2414|3902|5716|13334|16681|19816|19820|19926|19998|20004|20363|20366
10134	455|12167|16226
10135	12846
10136	5797
10137	12846
10138	12846
10139	19597
1014	1033|12272|12274|12303|12338|14420|15681|15906|17680
10140	12846
10141	15049|18921
10142	2331|13277|20075
10143	2331|13277|20075
10144	15359
10145	3123|7210|9028|11679|12527|13064|13277|13331|13354|13506|15804|15807|15911|15947|16136|16145|16437|16628|17019|17367|17369|17917|19588|19601|19609|19776|19778
10146	94|1544|11549|13332|13461|14246|14499|14538|16038|16049|18347|18348|18351|18404|18406|18981
10147	616|761|1238|1579|1585|3202|3494|9028|10796|11304|12272|12300|12634|13810|16108|16200|16961|16981|18395|18398|19359|19399|19532|19534|19589
10148	2331|13680
10149	597|12244|13364|13525|13560|13954|14549|14551|14553|15538|17414|18280
1015	1274|1425|11318|11748|12455|12463|12466|12469|12490|12634|14802|16206|19598|21483
10150	659|769|12861|13830|18556|19445|19599|20795
10151	973|1015|12167|12258|13207
10152	400|444|5260|12198
10153	1001|1223|1228|1276|1951|11335|11802|11832|12274|12533|12637|12859|13823|13826|19599
10154	12846
10155	106|1580|2421|3815|7776|8765|13902|17109
10156	12846
10157	2|91|105|3123|3902|8862|13334|13600|14471|16049|16435|18175|19868
10158	12846
10159	13414|13974|14537|15573|19596|19616|19686|21811
1016	120|12641|12653|15694|18294|21224
10160	425|12215|16570|16993|17058|17125|17128|17130|20524|21159
10161	425
10162	12274|13909|14133
10163	1033|11714|11752|11808|11810
10164	1001|1033|11157|12265|12364|13509|15820|18844
10165	290|12266|12364|13357|15715|20462
10166	1430|1990|6527|10587|11040|12720|17815|18884
10167	21159
10168	77|80|1478|2609|3902|11545|12774|13334|14250|15513|15579|15830|15838|16049|17032|17347|17394|18175|18180|19585
10169	613|698|699|2221|2244|2293|3123|3145|3982|4011|4275|5428|5797|6999|7725|7737|8502|9296|11341|11482|12052|12641|13270|13283|14244|14739|15528|15864|16508|17548|17609|19382|19467|19586
1017	613|697|1583|11254|11709|15159|16691|16820|19587|20742
10170	14350|17417
10171	12846
10172	681|7502
10173	12773
10174	12846
10175	117|290|667|1149|2276|9022
10176	12846
10177	444
10178	12846
10179	1073|1081|3122|11139|12274|13608
1018	613|715|1586|11254|11709|12944|13653|14492|15222|16691|16820|19587
10180	12245|12284
10181	15049
10182	1312|3122|11692
10183	597|14561|17680
10184	12028|19589
10185	11905
10186	1516|11697|14497|15559
