GENE_ID	CONDITION_ID
ENSG00000000419	OMIM:608799
ENSG00000000971	OMIM:126700
ENSG00000000971	OMIM:235400
ENSG00000000971	OMIM:609814
ENSG00000000971	OMIM:610698
ENSG00000001084	OMIM:230450
ENSG00000001084	OMIM:608446
ENSG00000001497	OMIM:309585
ENSG00000001626	OMIM:167800
ENSG00000001626	OMIM:211400
ENSG00000001626	OMIM:219700
ENSG00000001626	OMIM:277180
ENSG00000001631	OMIM:116860
ENSG00000002822	OMIM:176807
ENSG00000003137	OMIM:614416
ENSG00000003393	OMIM:205100
ENSG00000003393	OMIM:606353
ENSG00000003393	OMIM:607225
ENSG00000003400	OMIM:603909
ENSG00000003400	OMIM:605027
ENSG00000003400	OMIM:613659
ENSG00000004455	OMIM:267500
ENSG00000004487	OMIM:616728
ENSG00000004838	OMIM:615444
ENSG00000004848	OMIM:300004
ENSG00000004848	OMIM:300215
ENSG00000004848	OMIM:300419
ENSG00000004848	OMIM:308350
ENSG00000004848	OMIM:309510
ENSG00000004864	OMIM:603471
ENSG00000004864	OMIM:605814
ENSG00000004939	OMIM:110500
ENSG00000004939	OMIM:112010
ENSG00000004939	OMIM:112050
ENSG00000004939	OMIM:166900
ENSG00000004939	OMIM:179800
ENSG00000004939	OMIM:185020
ENSG00000004939	OMIM:601550
ENSG00000004939	OMIM:601551
ENSG00000004939	OMIM:611162
ENSG00000004939	OMIM:611590
ENSG00000004939	OMIM:612653
ENSG00000004948	OMIM:166710
ENSG00000004961	OMIM:309801
ENSG00000005073	OMIM:605432
ENSG00000005102	OMIM:214300
ENSG00000005339	OMIM:180849
ENSG00000005381	OMIM:104300
ENSG00000005381	OMIM:254600
ENSG00000005421	OMIM:612633
ENSG00000005471	OMIM:600803
ENSG00000005471	OMIM:602347
ENSG00000005471	OMIM:614972
ENSG00000005884	OMIM:614748
ENSG00000005893	OMIM:300257
ENSG00000005961	OMIM:187800
ENSG00000005961	OMIM:273800
ENSG00000006016	OMIM:272430
ENSG00000006042	OMIM:615972
ENSG00000006071	OMIM:125853
ENSG00000006071	OMIM:240800
ENSG00000006071	OMIM:256450
ENSG00000006071	OMIM:606176
ENSG00000006071	OMIM:610374
ENSG00000006283	OMIM:616795
ENSG00000006611	OMIM:276900
ENSG00000006611	OMIM:276904
ENSG00000006611	OMIM:602092
ENSG00000006638	OMIM:614009
ENSG00000006695	OMIM:220110
ENSG00000006695	OMIM:256000
ENSG00000006744	OMIM:614731
ENSG00000006744	OMIM:615440
ENSG00000007062	OMIM:603786
ENSG00000007062	OMIM:608051
ENSG00000007062	OMIM:612095
ENSG00000007062	OMIM:612657
ENSG00000007168	OMIM:607432
ENSG00000007171	OMIM:611162
ENSG00000007312	OMIM:612692
ENSG00000007314	OMIM:168300
ENSG00000007314	OMIM:170500
ENSG00000007314	OMIM:608390
ENSG00000007314	OMIM:613345
ENSG00000007314	OMIM:614198
ENSG00000007372	OMIM:106210
ENSG00000007372	OMIM:120200
ENSG00000007372	OMIM:120430
ENSG00000007372	OMIM:136520
ENSG00000007372	OMIM:148190
ENSG00000007372	OMIM:165550
ENSG00000007372	OMIM:604229
ENSG00000007933	OMIM:602079
ENSG00000008056	OMIM:300491
ENSG00000008086	OMIM:300672
ENSG00000008196	OMIM:169100
ENSG00000008196	OMIM:617035
ENSG00000008311	OMIM:238700
ENSG00000008441	OMIM:602535
ENSG00000008441	OMIM:614753
ENSG00000008710	OMIM:173900
ENSG00000009709	OMIM:268220
ENSG00000009724	OMIM:613791
ENSG00000009765	OMIM:274800
ENSG00000009830	OMIM:613150
ENSG00000009830	OMIM:613156
ENSG00000009830	OMIM:613158
ENSG00000010072	OMIM:616200
ENSG00000010361	OMIM:182940
ENSG00000010404	OMIM:309900
ENSG00000010610	OMIM:613949
ENSG00000010671	OMIM:300755
ENSG00000010671	OMIM:307200
ENSG00000010704	OMIM:104300
ENSG00000010704	OMIM:176100
ENSG00000010704	OMIM:176200
ENSG00000010704	OMIM:235200
ENSG00000010704	OMIM:612635
ENSG00000010704	OMIM:614193
ENSG00000010818	OMIM:616977
ENSG00000011143	OMIM:249000
ENSG00000011143	OMIM:615990
ENSG00000011143	OMIM:617121
ENSG00000011198	OMIM:275630
ENSG00000011201	OMIM:308700
ENSG00000011275	OMIM:212840
ENSG00000011295	OMIM:615157
ENSG00000011376	OMIM:615300
ENSG00000011376	OMIM:617021
ENSG00000011426	OMIM:616032
ENSG00000011465	OMIM:610048
ENSG00000011600	OMIM:221770
ENSG00000012048	OMIM:114480
ENSG00000012048	OMIM:167000
ENSG00000012048	OMIM:604370
ENSG00000012048	OMIM:614320
ENSG00000012061	OMIM:610758
ENSG00000012174	OMIM:300918
ENSG00000012174	OMIM:308205
ENSG00000012174	OMIM:308800
ENSG00000012504	OMIM:617049
ENSG00000012660	OMIM:615957
ENSG00000012779	OMIM:600807
ENSG00000013293	OMIM:615725
ENSG00000013375	OMIM:615816
ENSG00000013503	OMIM:614381
ENSG00000013573	OMIM:613398
ENSG00000013619	OMIM:300758
ENSG00000014216	OMIM:616907
ENSG00000014919	OMIM:256000
ENSG00000014919	OMIM:615119
ENSG00000015133	OMIM:236600
ENSG00000015133	OMIM:616053
ENSG00000015171	OMIM:616083
ENSG00000015285	OMIM:300299
ENSG00000015285	OMIM:301000
ENSG00000015285	OMIM:313900
ENSG00000015479	OMIM:606070
ENSG00000015532	OMIM:264800
ENSG00000015532	OMIM:605822
ENSG00000017260	OMIM:169600
ENSG00000017427	OMIM:608747
ENSG00000018236	OMIM:612540
ENSG00000018280	OMIM:607948
ENSG00000018280	OMIM:610446
ENSG00000018510	OMIM:600121
