GENE_ID	CONDITION_ID
1	8987
10	15686
10004	6867|22851
10007	4294|5620|7855|9046|10001|10231|11009|12796|17026|17029|18520|19088|19090
10008	8882|14839
10009	7761
1001	15399
10011	1051|1291|1608|1691|13574|13648|21609
10014	11025
10019	14985|15476|17291|23816|23817
10020	19595
10021	23009
10023	15767|24147
10024	14236|18748|18749
10025	17849
10026	6626|12264|12265|12268|22015
10028	5567|23645
10029	15793
1003	8568|9378|11128|19950|22415
10030	22965
10033	15795|18174|21290
10035	5617|19673|21596|23997|23998
10039	9774
1004	1306|2270|2317|5135|5476|12189|17266|17267|18079|18822|20623|24283
10040	19558|20004
10043	14411
10044	6029|10869|12855|17399|21853
10045	17964|18414
10046	2696
10047	13519|16581
10048	5138
10050	13280|13928
10057	923|4330|8048|19691|19692|19694|19695|19696|19730|20166
10058	1214|15641|16052|17691|18390
1006	14510
10061	15362
10062	17119
10065	11124|14720|15574|18636|23471
10068	5630
10069	19769
1007	8672|15366
10070	15779
10072	14562|22416
10073	24692
10074	24660
10076	19823
10079	4124|9716|9815
1008	8838|9830|9831
10081	9866
10088	20741
1009	2201|2393|2394|2395|2397|2398|2399|2400|2401|2402|2493|5076|14212|14359|14360|14603|17209|17210|17841
10091	15363
10093	5710|6062|8301|11418|11419|11434|11435|17983|20585
10095	24151
10096	16557|22113|23980
10097	1213|2784|4944|4945|24307
10098	21150
10099	8848
10100	20429
10102	14295
10103	10527|11160|12187|14900|16958|17612|17613|18335|19323|20532|20544|21470|23261|23262|23326|23547|24711
10104	22220
10106	6707
10108	5101|10781|18474|23991
10109	6716
10111	6240|6672|10742|14831|18157
10112	1335|2313|7499|17273|17351|19918|19919|20594|22352
10113	8928|9526
10114	17679
10117	453|454|455|456|1946|3064|3069|11313|11432|12120|18869|18870|19661|19662
10118	12874|20716
10119	9090|23617
10120	11726|14849
10121	23065
10122	18184
10125	17300
10130	15367
10131	17200|20644
10136	13972|16818|18523|21560
10139	3628|9967|21622|21891
1014	5305|22484
10142	18721|20451|21031|21359
10143	5383|5814|5815
10144	14973|14974
10145	10706|18915
10148	3618|3817|10771|22711|23788
10149	4582
10152	10561|10562|11753|11754|19039|23952|24518
10153	14512|18644
10154	18460|22107
10155	18030
1016	7714
10161	5500|24184
10162	2489|4668|9800|20685
10164	9904|13507|19652
10166	16600
10171	17982|21910
10174	15461|24176|24177
10177	7053|20709|20710|20711|20712|20713|20714
1018	4196|16336
10180	13080
10181	962|1403|2013|2158|2159|2160|2447|7265|7919|7920|7970|12118|18206
10183	2698|2845
10185	20297
10186	1001|19633
10187	17031|18211|18212
10188	22065
1019	9884
10190	3436|3437
10191	10601
10192	15231|18736
10198	12368
10199	4050|4051
102	12360|14879
10200	2044|2285|18538|20513
10204	13783
10206	14066
10208	18462
10209	14496|14498
10218	24635
1022	15230|21974
10221	7612|24139|24344
10222	19047
10223	15726
10224	5727|5918
10226	291|381|511|2261
10227	16551
10228	3431|13254
10229	3337|9382|17450
10232	4102|5215|15935
10236	4331
10237	24360|24361
10238	12271
10239	6914
1024	22424
10240	15504|20108
10241	15252
10247	4284
10248	11886
10249	9631|10615
1025	15870
10251	21400|22626
10252	21618
10257	24308
10260	2466|15134
10261	8061|8943
10263	5794|8969
10264	5793|6071
10265	15921
10266	9573
10268	18302|18929|18930|20227|23598
1027	21885
10270	6115|21903
10273	23292|23467
10276	9998
10277	16352
10279	18795
1028	722|738|11338
10280	780|19103
10281	23671
10282	22755
