HGENE_ENSEMBL_ID	CONDITION_ID
ENSG00000000419	OMIM:608799
ENSG00000000971	OMIM:126700|OMIM:235400
ENSG00000001084	OMIM:230450|OMIM:608446
ENSG00000001497	OMIM:309585
ENSG00000001626	OMIM:167800|OMIM:211400|OMIM:219700|OMIM:277180
ENSG00000001631	OMIM:116860
ENSG00000002822	OMIM:176807
ENSG00000003393	OMIM:205100|OMIM:606353|OMIM:607225
ENSG00000003400	OMIM:603909|OMIM:605027
ENSG00000004455	OMIM:267500
ENSG00000004848	OMIM:300004|OMIM:300215|OMIM:300419|OMIM:308350|OMIM:309510
ENSG00000004864	OMIM:603471|OMIM:605814
ENSG00000004939	OMIM:166900|OMIM:179800|OMIM:185020
ENSG00000004948	OMIM:166710
ENSG00000004961	OMIM:309801
ENSG00000005073	OMIM:605432
ENSG00000005102	OMIM:214300
ENSG00000005339	OMIM:180849
ENSG00000005381	OMIM:104300|OMIM:254600
ENSG00000005471	OMIM:600803|OMIM:602347
ENSG00000005893	OMIM:300257
ENSG00000005961	OMIM:187800|OMIM:273800
ENSG00000006016	OMIM:272430
ENSG00000006071	OMIM:125853|OMIM:240800|OMIM:256450|OMIM:606176
ENSG00000006611	OMIM:276900|OMIM:276904|OMIM:602092
ENSG00000006695	OMIM:220110|OMIM:256000
ENSG00000007062	OMIM:603786|OMIM:608051
ENSG00000007168	OMIM:607432
ENSG00000007314	OMIM:168300|OMIM:170500|OMIM:608390
ENSG00000007372	OMIM:106210|OMIM:120200|OMIM:120430|OMIM:136520|OMIM:148190|OMIM:165550|OMIM:604229
ENSG00000007933	OMIM:602079
ENSG00000008056	OMIM:300491
ENSG00000008196	OMIM:169100
ENSG00000008311	OMIM:238700
ENSG00000008441	OMIM:602535
ENSG00000008710	OMIM:173900
ENSG00000009709	OMIM:268220
ENSG00000009765	OMIM:274800
ENSG00000010361	OMIM:182940
ENSG00000010404	OMIM:309900
ENSG00000010671	OMIM:307200
ENSG00000010704	OMIM:104300|OMIM:176100|OMIM:176200|OMIM:235200
ENSG00000011143	OMIM:249000
ENSG00000011198	OMIM:275630
ENSG00000011201	OMIM:308700
ENSG00000011275	OMIM:212840
ENSG00000011600	OMIM:221770
ENSG00000012048	OMIM:114480|OMIM:604370
ENSG00000012174	OMIM:308205|OMIM:308800
ENSG00000012779	OMIM:600807
ENSG00000014919	OMIM:256000
ENSG00000015133	OMIM:236600
ENSG00000015285	OMIM:300299|OMIM:301000|OMIM:313900
ENSG00000015479	OMIM:606070
ENSG00000015532	OMIM:264800|OMIM:605822
ENSG00000017260	OMIM:169600
ENSG00000017427	OMIM:608747
ENSG00000018280	OMIM:607948
ENSG00000018510	OMIM:600121
ENSG00000018625	OMIM:104290|OMIM:602481
ENSG00000019186	OMIM:143880
ENSG00000019549	OMIM:172800|OMIM:608890
ENSG00000019991	OMIM:608265
ENSG00000020922	OMIM:604391
ENSG00000021488	OMIM:220100
ENSG00000021574	OMIM:182601
ENSG00000021826	OMIM:237300
ENSG00000023228	OMIM:252010
ENSG00000023287	OMIM:114480
