GENE	SCORE_UNRANKED_UNPROP	SCORE_UNRANKED_PROP	SCORE_RANKED_PROP	PVALUE
ENSG00000000003	0.0	0.0118424170111	7871.0	0.281
ENSG00000000005	0.0154055043911	0.00277866831473	2711.0	0.469
ENSG00000000419	0.00245809095314	0.0355113681014	13704.0	0.009
ENSG00000000457	0.0	0.00780310187141	5964.0	0.464
ENSG00000000460	0.0207232597762	0.0159684145739	9486.0	0.507
ENSG00000000938	0.0014915541513	0.0292534643544	12765.0	0.5
ENSG00000000971	0.0807172743714	0.0397779450871	14174.0	0.699
ENSG00000001036	0.0	0.00274535996891	2683.0	0.42
ENSG00000001084	0.0422355604458	0.00854934855327	6338.0	0.45
ENSG00000001167	5.13302781652e-06	0.0443393634807	14579.0	0.408
ENSG00000001461	0.0276523678515	0.00491838451855	4254.0	0.408
ENSG00000001497	0.161666327426	0.0479090336774	14852.0	0.573
ENSG00000001561	0.0	0.00579613641592	4806.0	0.444
ENSG00000001617	0.0361345062302	0.013147561492	8435.0	0.543
ENSG00000001626	0.0618168131937	0.237457695226	17137.0	0.577
ENSG00000001629	0.0	0.00328081089495	3078.0	0.388
ENSG00000001630	0.150976905903	0.0363330531161	13813.0	0.238
ENSG00000001631	0.0863069520004	0.0251840117721	11964.0	0.594
ENSG00000002016	0.0	0.0394345321183	14140.0	0.11
ENSG00000002079	0.0	0.000824321252801	473.0	0.189
ENSG00000002330	0.0327759160255	0.0542294148072	15226.0	0.34
ENSG00000002549	0.0	0.016101725396	9527.0	0.161
ENSG00000002586	0.0	0.0108198721424	7430.0	0.547
ENSG00000002587	0.0172451218242	0.00363378624986	3400.0	0.327
ENSG00000002726	0.052806646513	0.010175116864	7147.0	0.397
ENSG00000002745	0.0110310498879	0.00203803016746	2091.0	0.801
ENSG00000002746	0.0	0.0140332835825	8809.0	0.437
ENSG00000002822	0.0521387660079	0.0516665458447	15092.0	0.286
ENSG00000002834	0.0366690368056	0.0565436889312	15346.0	0.783
ENSG00000002919	0.0	0.0171340752674	9867.0	0.412
ENSG00000002933	0.0	0.00410339350863	3680.0	0.412
ENSG00000003056	0.00468559915044	0.013121385132	8423.0	0.666
ENSG00000003096	0.0	0.0235817378394	11605.0	0.44
ENSG00000003137	0.141779473315	0.0161185489134	9536.0	0.437
ENSG00000003147	0.0122252629767	0.0123000519151	8059.0	0.643
ENSG00000003393	0.12781480625	0.0183098186817	10249.0	0.329
ENSG00000003400	0.0494283754152	0.042968917999	14458.0	0.337
ENSG00000003402	0.0249224576448	0.0554114367164	15297.0	0.301
ENSG00000003436	0.0592973078985	0.0207119494692	10915.0	0.536
