GENE	SCORE_UNRANKED_UNPROP	SCORE_UNRANKED_PROP	SCORE_RANKED_PROP	PVALUE
ENSG00000000003	0.0	0.0161405683855	8089.0	0.203
ENSG00000000005	0.0154055043911	0.00657872269688	2392.0	0.597
ENSG00000000419	0.00245809095314	0.0276597241991	12991.0	0.018
ENSG00000000457	0.0	0.0132436771057	6421.0	0.423
ENSG00000000460	0.0207232597762	0.0193236040901	9750.0	0.557
ENSG00000000938	0.0014915541513	0.0253649791678	12250.0	0.572
ENSG00000000971	0.0807172743714	0.034151548781	14514.0	0.676
ENSG00000001036	0.0	0.00719614272621	2776.0	0.438
ENSG00000001084	0.0422355604458	0.0131933257215	6389.0	0.417
ENSG00000001167	5.13302781652e-06	0.0295043630848	13472.0	0.8
ENSG00000001461	0.0276523678515	0.00945384318561	4113.0	0.47
ENSG00000001497	0.161666327426	0.0413800317936	15576.0	0.587
ENSG00000001561	0.0	0.0114011343638	5297.0	0.436
ENSG00000001617	0.0361345062302	0.0177781195718	8981.0	0.449
ENSG00000001626	0.0618168131937	0.0756203931581	16964.0	0.545
ENSG00000001629	0.0	0.00773497508356	3086.0	0.46
ENSG00000001630	0.150976905903	0.0363838767797	14919.0	0.266
ENSG00000001631	0.0863069520004	0.0280944247144	13110.0	0.612
ENSG00000002016	0.0	0.029650627739	13509.0	0.352
ENSG00000002079	0.0	0.00486546664355	1328.0	0.234
ENSG00000002330	0.0327759160255	0.0364225296219	14926.0	0.372
ENSG00000002549	0.0	0.0183018893032	9250.0	0.108
ENSG00000002586	0.0	0.0151937033618	7542.0	0.393
ENSG00000002587	0.0172451218242	0.00773031905485	3083.0	0.318
ENSG00000002726	0.052806646513	0.0163191651464	8182.0	0.514
ENSG00000002745	0.0110310498879	0.00545953352636	1594.0	0.838
ENSG00000002746	0.0	0.0180452649125	9107.0	0.389
ENSG00000002822	0.0521387660079	0.0355951151681	14778.0	0.368
ENSG00000002834	0.0366690368056	0.0368004717179	14986.0	0.765
ENSG00000002919	0.0	0.0196085876389	9876.0	0.354
ENSG00000002933	0.0	0.00928792336165	4028.0	0.246
ENSG00000003056	0.00468559915044	0.0164659870935	8264.0	0.538
ENSG00000003096	0.0	0.0215220637877	10736.0	0.269
ENSG00000003137	0.141779473315	0.0201513558401	10130.0	0.429
ENSG00000003147	0.0122252629767	0.0160877498656	8058.0	0.644
ENSG00000003393	0.12781480625	0.0234744166631	11526.0	0.298
ENSG00000003400	0.0494283754152	0.033229477264	14347.0	0.378
ENSG00000003402	0.0249224576448	0.0361108072867	14873.0	0.311
ENSG00000003436	0.0592973078985	0.0250418753179	12137.0	0.516
ENSG00000003509	5.12181350396e-06	0.0180353387591	9101.0	0.154
ENSG00000003756	0.0120621881742	0.0241444757835	11816.0	0.504
ENSG00000003987	0.0	0.00361974211162	277.5	0.354
ENSG00000003989	0.00302361130342	0.0152749121294	7601.0	0.284
ENSG00000004059	0.0	0.0250895652546	12154.0	0.048
ENSG00000004139	0.0169876932456	0.0213440811483	10672.0	0.192
ENSG00000004142	0.0356700273404	0.0235977250182	11574.0	0.102
ENSG00000004399	0.0453005331906	0.0271801669842	12867.0	0.406
ENSG00000004455	0.0818109152839	0.0260882547719	12515.0	0.559
ENSG00000004468	0.0195041736273	0.015326625028	7636.0	0.457
ENSG00000004478	0.0210366075513	0.042474920354	15699.0	0.654
ENSG00000004487	0.00287998580689	0.0750949151135	16955.0	0.409
ENSG00000004534	0.0	0.0154188690649	7692.0	0.263
ENSG00000004660	0.00515598050147	0.0217325485291	10825.0	0.601
ENSG00000004700	0.00274742478019	0.0214913580778	10725.0	0.505
ENSG00000004766	0.0	0.0233731076776	11487.0	0.533
ENSG00000004776	0.0	0.0138068865938	6752.0	0.386
ENSG00000004777	0.0282017851664	0.0101661204794	4565.0	0.734
ENSG00000004779	0.0	0.0240898653403	11785.0	0.14
ENSG00000004799	0.0126522280653	0.0121537117821	5756.0	0.316
ENSG00000004809	0.0	0.0043533448684	1095.0	0.441
