Ensembl_Gene_ID	MGI_ID
ENSG00000139687	MGI:1857242
ENSG00000168214	MGI:1857411
ENSG00000165588	MGI:1857502
ENSG00000143320	MGI:1857508
ENSG00000119715	MGI:1857422
ENSG00000165025	MGI:1857421
ENSG00000151617	MGI:1857473
ENSG00000007372	MGI:1856155
ENSG00000081189	MGI:1857491
ENSG00000133937	MGI:1857496
ENSG00000106571	MGI:1856276
ENSG00000074047	MGI:1857509
ENSG00000065559	MGI:1857536
ENSG00000165588	MGI:1857543
ENSG00000052850	MGI:1857484
ENSG00000180318	MGI:1857553
ENSG00000179588	MGI:1857554
ENSG00000130816	MGI:1857157
ENSG00000128052	MGI:1857168
ENSG00000159216	MGI:1857568
ENSG00000187266	MGI:1857575
ENSG00000141510	MGI:1857590
ENSG00000067955	MGI:1857593
ENSG00000169398	MGI:1857596
ENSG00000162552	MGI:1857453
ENSG00000105996	MGI:1857626
ENSG00000197576	MGI:1857628
ENSG00000173894	MGI:1857631
ENSG00000164107	MGI:1857639
ENSG00000135903	MGI:1856293
ENSG00000196839	MGI:1857117
ENSG00000019991	MGI:1857656
ENSG00000111049	MGI:1857219
ENSG00000069011	MGI:1857659
ENSG00000125813	MGI:1856225
ENSG00000135903	MGI:1856292
ENSG00000162692	MGI:1857452
ENSG00000115414	MGI:1857170
ENSG00000179776	MGI:1857669
ENSG00000168036	MGI:1857678
ENSG00000143437	MGI:1932111
ENSG00000125965	MGI:1856340
ENSG00000112210	MGI:1856980
ENSG00000167157	MGI:1857684
ENSG00000102755	MGI:1857717
ENSG00000165588	MGI:1857510
ENSG00000154342	MGI:1857489
ENSG00000176692	MGI:1857740
ENSG00000007372	MGI:1856158
ENSG00000125378	MGI:1857137
ENSG00000164458	MGI:1856184
ENSG00000164458	MGI:1857760
ENSG00000187266	MGI:1857770
ENSG00000049130	MGI:1856164
ENSG00000157404	MGI:1856232
ENSG00000105880	MGI:1857789
ENSG00000204103	MGI:1856419
ENSG00000139687	MGI:1857339
ENSG00000164093	MGI:1857844
ENSG00000164093	MGI:1857846
ENSG00000176692	MGI:1857865
ENSG00000164093	MGI:1857880
ENSG00000128918	MGI:1857891
ENSG00000096384	MGI:1857893
ENSG00000128652	MGI:1857959
ENSG00000111049	MGI:1857973
ENSG00000054598	MGI:1856705
ENSG00000032742	MGI:1859153
ENSG00000130726	MGI:1859550
ENSG00000080815	MGI:1857974
ENSG00000170558	MGI:1861181
ENSG00000182197	MGI:1888710
ENSG00000109132	MGI:1926861
ENSG00000157404	MGI:1856266
ENSG00000103241	MGI:1929432
ENSG00000141736	MGI:1928827
ENSG00000065361	MGI:1928828
ENSG00000109705	MGI:1857926
ENSG00000198121	MGI:1931154
ENSG00000163064	MGI:1857163
ENSG00000164690	MGI:1934261
ENSG00000102678	MGI:2135961
ENSG00000186350	MGI:2136273
ENSG00000164093	MGI:2136268
ENSG00000164093	MGI:2136269
ENSG00000164093	MGI:2136271
ENSG00000134259	MGI:1857535
ENSG00000105877	MGI:1856917
ENSG00000037965	MGI:2149030
ENSG00000178573	MGI:2148635
ENSG00000114315	MGI:2149672
ENSG00000197921	MGI:2149674
ENSG00000105993	MGI:2151092
ENSG00000129535	MGI:2152376
ENSG00000139515	MGI:2152755
ENSG00000008710	MGI:2152589
ENSG00000275555	MGI:1861919
ENSG00000090932	MGI:1857008
ENSG00000169840	MGI:2154448
ENSG00000188816	MGI:2154542
ENSG00000066468	MGI:2153811
ENSG00000164690	MGI:1857796
ENSG00000007372	MGI:2156741
ENSG00000007372	MGI:2156742
ENSG00000185920	MGI:1857447
ENSG00000074047	MGI:2158472
ENSG00000156574	MGI:2158732
ENSG00000156574	MGI:2158730
ENSG00000041982	MGI:2148541
ENSG00000041982	MGI:2148540
ENSG00000003989	MGI:2150359
ENSG00000012048	MGI:1930613
ENSG00000012048	MGI:1857931
ENSG00000012048	MGI:1930612
ENSG00000012048	MGI:1858108
ENSG00000012048	MGI:1858107
ENSG00000012048	MGI:1931238
ENSG00000074201	MGI:1934011
ENSG00000134853	MGI:1926728
ENSG00000118762	MGI:1860840
ENSG00000118762	MGI:1860866
ENSG00000171867	MGI:1888773
ENSG00000171867	MGI:1934274
ENSG00000171867	MGI:1934272
ENSG00000171867	MGI:1934273
ENSG00000165917	MGI:2148091
ENSG00000147459	MGI:1861664
ENSG00000172493	MGI:1862020
ENSG00000069667	MGI:1857035
ENSG00000069667	MGI:1926597
ENSG00000069667	MGI:1933211
ENSG00000110756	MGI:1856144
ENSG00000110756	MGI:1856145
ENSG00000110756	MGI:1856147
ENSG00000110756	MGI:1856146
ENSG00000110756	MGI:1889780
ENSG00000132703	MGI:2138028
ENSG00000196876	MGI:1856078
ENSG00000075275	MGI:1862019
ENSG00000064651	MGI:1857838
ENSG00000064651	MGI:1935225
ENSG00000064651	MGI:1935144
ENSG00000057252	MGI:1857978
ENSG00000057252	MGI:1934032
ENSG00000073060	MGI:1928989
ENSG00000073060	MGI:1888384
ENSG00000197122	MGI:1857247
ENSG00000168610	MGI:1926814
ENSG00000164458	MGI:1862032
ENSG00000162367	MGI:1857254
ENSG00000162367	MGI:1857566
ENSG00000162367	MGI:1858004
ENSG00000125878	MGI:1929775
ENSG00000118526	MGI:1888738
ENSG00000118526	MGI:2148207
ENSG00000118526	MGI:2148205
ENSG00000110719	MGI:1856973
ENSG00000110719	MGI:1857950
ENSG00000164362	MGI:1859741
ENSG00000163235	MGI:1856577
ENSG00000163235	MGI:1933208
